Questionably Used and existing  Cars|2888 not scamming Road|666-777-6767
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
56213|2015|Toyota|Camry|Sedan|Blue|84211|12495.00
78432|2018|Chevrolet|Malibu|Sedan|White|56432|15995.00
19384|2010|Nissan|Altima|Sedan|Black|120543|7495.00
84726|2020|Jeep|Wrangler|SUV|Green|33210|28995.00
29375|2017|Hyundai|Elantra|Sedan|Silver|65432|10995.00
66421|2013|BMW|X5|SUV|Black|98765|18995.00
11239|2019|Tesla|Model3|Sedan|White|22134|35995.00
90834|2016|Ford|F150|Truck|Blue|75643|21995.00
44567|2014|Kia|Sorento|SUV|Red|88321|13995.00
22318|2021|Honda|CRV|SUV|Gray|15432|27995.00

